RSL,Age,Age_er_average,RSL_er_average,RSL_er_max,RSL_er_min,Age_er_max,Age_er_min,SiteName,Region,RegionSite,Longitude,Latitude
-0.91,1.336,0.0165,0.04,0.04,0.04,0.0165,0.0165,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.78,1.413,0.0135,0.04,0.04,0.04,0.0135,0.0135,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.82,1.441,0.0205,0.04,0.04,0.04,0.0205,0.0205,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.69,1.561,0.041,0.04,0.04,0.04,0.041,0.041,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.63,1.57,0.043,0.05,0.05,0.05,0.043,0.043,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.53,1.655,0.0135,0.05,0.05,0.05,0.0135,0.0135,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.47,1.713,0.0065,0.05,0.05,0.05,0.0065,0.0065,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.42,1.789,0.0045,0.05,0.05,0.05,0.0045,0.0045,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.4,1.825,0.0125,0.05,0.05,0.05,0.0125,0.0125,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.32,1.875,0.0125,0.05,0.05,0.05,0.0125,0.0125,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
0.03,2,0.00175,0.11,0.11,0.11,0.0015,0.002,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
0,1.996,0.00175,0.13,0.13,0.13,0.0015,0.002,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
0,1.994,0.002,0.1,0.1,0.1,0.001,0.003,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.06,1.993,0.00225,0.11,0.11,0.11,0.0015,0.003,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.07,1.99,0.00275,0.11,0.11,0.11,0.0025,0.003,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.09,1.989,0.003,0.1,0.1,0.1,0.003,0.003,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.1,1.986,0.00275,0.09,0.09,0.09,0.003,0.0025,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.17,1.984,0.00225,0.14,0.14,0.14,0.003,0.0015,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.15,1.981,0.00175,0.11,0.11,0.11,0.0025,0.001,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.18,1.978,0.001,0.11,0.11,0.11,0.001,0.001,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.13,1.977,0.0015,0.1,0.1,0.1,0.001,0.002,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.19,1.974,0.002,0.09,0.09,0.09,5e-4,0.0035,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.22,1.973,0.003,0.11,0.11,0.11,0.001,0.005,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.21,1.972,0.00375,0.1,0.1,0.1,0.0015,0.006,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.23,1.97,0.00425,0.09,0.09,0.09,0.0015,0.007,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.22,1.967,0.00375,0.09,0.09,0.09,0.001,0.0065,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.24,1.962,0.00375,0.09,0.09,0.09,0.0025,0.005,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.28,1.956,0.005,0.14,0.14,0.14,0.004,0.006,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.3,1.947,0.00475,0.15,0.15,0.15,0.0045,0.005,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.29,1.941,0.00425,0.14,0.14,0.14,0.004,0.0045,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.29,1.938,0.003,0.21,0.21,0.21,0.001,0.005,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.37,1.93,0.00425,0.13,0.13,0.13,0.002,0.0065,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
-0.32,1.926,0.00625,0.13,0.13,0.13,0.001,0.0115,Southern New Jersey - CMC,New Jersey,"Cape May Courthouse,
 New Jersey",-74.812,39.086
