RSL,Age,Age_er_average,RSL_er_average,RSL_er_max,RSL_er_min,Age_er_max,Age_er_min,SiteName,Region,RegionSite,Longitude,Latitude
-0.91,1.336,0.0165,0.04,0.04,0.04,0.0165,0.0165,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.78,1.413,0.0135,0.04,0.04,0.04,0.0135,0.0135,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.82,1.441,0.0205,0.04,0.04,0.04,0.0205,0.0205,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.69,1.561,0.041,0.04,0.04,0.04,0.041,0.041,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.63,1.57,0.043,0.05,0.05,0.05,0.043,0.043,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.53,1.655,0.0135,0.05,0.05,0.05,0.0135,0.0135,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.47,1.713,0.0065,0.05,0.05,0.05,0.0065,0.0065,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.42,1.789,0.0045,0.05,0.05,0.05,0.0045,0.0045,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.4,1.825,0.0125,0.05,0.05,0.05,0.0125,0.0125,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.32,1.875,0.0125,0.05,0.05,0.05,0.0125,0.0125,"Barn Island,
 Connecticut",Connecticut,"Barn Island,
 Connecticut",-71.864,41.331
-0.16,1.981,0.00625,0.16,0.16,0.16,0.0115,0.001,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.1,1.979,0.00325,0.16,0.16,0.16,0.005,0.0015,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.13,1.976,0.00175,0.16,0.16,0.16,0.0015,0.002,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.24,1.974,0.00225,0.16,0.16,0.16,0.0015,0.003,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.17,1.972,0.003,0.16,0.16,0.16,0.002,0.004,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.27,1.969,0.003,0.16,0.16,0.16,0.0025,0.0035,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.23,1.965,0.0045,0.16,0.16,0.16,0.003,0.006,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.19,1.96,0.006,0.16,0.16,0.16,0.0045,0.0075,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.25,1.951,0.0065,0.16,0.16,0.16,0.0065,0.0065,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.23,1.942,0.0075,0.16,0.16,0.16,0.007,0.008,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.26,1.936,0.00975,0.16,0.16,0.16,0.005,0.0145,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.25,1.93,0.00875,0.16,0.16,0.16,0.0035,0.014,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.3,1.922,0.00825,0.16,0.16,0.16,0.0055,0.011,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.32,1.915,0.00775,0.16,0.16,0.16,0.007,0.0085,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.36,1.908,0.00725,0.16,0.16,0.16,0.009,0.0055,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.42,1.903,0.0105,0.16,0.16,0.16,0.01,0.011,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.41,1.901,0.014,0.16,0.16,0.16,0.01,0.018,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.45,1.898,0.01325,0.16,0.16,0.16,0.007,0.0195,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.44,1.865,0.0115,0.16,0.16,0.16,0.018,0.005,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.6,1.802,0.01925,0.16,0.16,0.16,0.011,0.0275,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.55,1.776,0.023,0.16,0.16,0.16,0.019,0.027,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
-0.54,1.753,0.02525,0.16,0.16,0.16,0.0245,0.026,"East River Marsh,
 Connecticut",Connecticut,"East River Marsh,
 Connecticut",-72.652,41.276
